date,top10_gross,change_YD,change_LW,releases,title,daily_gross,scrape_date
Dec 19,68936740,"+1,237.1%",+263.6%,16,Avatar: Fire and Ash,36500000,2025-12-21
Dec 18,5155617,-23.8%,-36.3%,36,Zootopia 2,2086145,2025-12-21
Dec 17,6768045,-24.8%,-24.1%,37,Zootopia 2,2373621,2025-12-21
Dec 16,9005538,+50.6%,-31.9%,38,Zootopia 2,3255783,2025-12-21
Dec 15,5977958,-69.3%,-34.9%,37,Zootopia 2,2044258,2025-12-21
Dec 14,19473499,-32.9%,-50.2%,40,Zootopia 2,7869569,2025-12-21
Dec 13,29009690,+53%,-48.7%,40,Zootopia 2,11750365,2025-12-21
Dec 12,18958877,+134.1%,-65.5%,42,Zootopia 2,6260184,2025-12-21
Dec 11,8097224,-9.2%,+9.9%,37,Zootopia 2,2508510,2025-12-21
Dec 10,8922368,-32.5%,+4.8%,34,Zootopia 2,2615107,2025-12-21
Dec 9,13218323,+44%,-0.2%,34,Zootopia 2,4130648,2025-12-21
Dec 8,9182498,-76.5%,+2.6%,35,Five Nights at Freddy's 2,3030480,2025-12-21
Dec 7,39099630,-30.9%,-12.2%,37,Zootopia 2,13914795,2025-12-21
Dec 6,56590989,+2.9%,-15.4%,38,Five Nights at Freddy's 2,20801885,2025-12-21
Dec 5,54980764,+646.4%,-25.8%,36,Five Nights at Freddy's 2,29957030,2025-12-21
Dec 4,7366214,-13.4%,-80.8%,33,Zootopia 2,3620010,2025-12-21
Dec 3,8510785,-35.7%,-86.2%,32,Zootopia 2,3977397,2025-12-21
Dec 2,13241413,+48%,-36.7%,32,Zootopia 2,6687449,2025-12-21
Dec 1,8948120,-79.9%,-53%,33,Zootopia 2,4385120,2025-12-21
Nov 30,44555530,-33.4%,+2.9%,38,Zootopia 2,24977946,2025-12-21
Nov 29,66908196,-9.7%,+18.5%,37,Zootopia 2,36224262,2025-12-21
Nov 28,74134256,+92.8%,-6%,38,Zootopia 2,39060332,2025-12-21
Nov 27Thanksgiving,38454871,-32%,-4%,39,Zootopia 2,20043787,2025-12-21
Nov 26,61821204,+195.8%,"+1,115.9%",38,Zootopia 2,38497734,2025-12-21
Nov 25,20903084,+9.7%,+157.5%,34,Wicked: For Good,15734865,2025-12-21
Nov 24,19055980,-56%,+294.7%,34,Wicked: For Good,14701415,2025-12-21
Nov 23,43318413,-23.3%,+161.2%,37,Wicked: For Good,34471585,2025-12-21
Nov 22,56464675,-28.4%,+112.6%,38,Wicked: For Good,43415440,2025-12-21
Nov 21,78856453,"+1,808.7%",+231.1%,36,Wicked: For Good,69117615,2025-12-21
